3 #SUP: 12790
4 #SUP: 6851
5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
10 #SUP: 4901
11 #SUP: 39922
12 #SUP: 10883
13 #SUP: 36959
15 #SUP: 23265
16 #SUP: 9458
17 #SUP: 27214
18 #SUP: 13301
19 #SUP: 25130
22 #SUP: 23202
23 #SUP: 7244
24 #SUP: 9732
26 #SUP: 5207
27 #SUP: 7597
28 #SUP: 5171
37 #SUP: 11655
39 #SUP: 8410
42 #SUP: 5289
44 #SUP: 9027
48 #SUP: 23289
3 5  #SUP: 12551
3 7  #SUP: 5888
3 8  #SUP: 11127
3 9  #SUP: 8187
3 11  #SUP: 10878
3 13  #SUP: 10211
3 15  #SUP: 10421
3 18  #SUP: 4792
3 19  #SUP: 6902
3 22  #SUP: 6617
3 48  #SUP: 7069
4 5  #SUP: 6724
4 8  #SUP: 5827
4 11  #SUP: 6260
4 13  #SUP: 5831
4 17  #SUP: 5246
5 7  #SUP: 19701
5 8  #SUP: 37453
5 9  #SUP: 28413
5 10  #SUP: 4862
5 11  #SUP: 39159
5 12  #SUP: 10675
5 13  #SUP: 36201
5 15  #SUP: 22824
5 16  #SUP: 9294
5 17  #SUP: 26766
5 18  #SUP: 13103
5 19  #SUP: 24695
5 22  #SUP: 22744
5 23  #SUP: 6943
5 24  #SUP: 9531
5 26  #SUP: 5079
5 27  #SUP: 7467
5 28  #SUP: 5097
5 37  #SUP: 11423
5 39  #SUP: 8276
5 42  #SUP: 5237
5 44  #SUP: 9011
5 48  #SUP: 23049
7 8  #SUP: 17204
7 9  #SUP: 12859
7 11  #SUP: 16727
7 12  #SUP: 4883
7 13  #SUP: 16969
7 15  #SUP: 8893
7 16  #SUP: 4780
7 17  #SUP: 11893
7 18  #SUP: 6923
7 22  #SUP: 9164
7 37  #SUP: 4856
7 39  #SUP: 4731
7 48  #SUP: 10016
8 9  #SUP: 24265
8 11  #SUP: 33162
8 12  #SUP: 9127
8 13  #SUP: 30836
8 15  #SUP: 19592
8 16  #SUP: 8205
8 17  #SUP: 22554
8 18  #SUP: 11517
8 19  #SUP: 20763
8 22  #SUP: 18899
8 24  #SUP: 8048
8 27  #SUP: 6288
8 37  #SUP: 9683
8 39  #SUP: 6916
8 42  #SUP: 4805
8 44  #SUP: 7889
8 48  #SUP: 19439
9 11  #SUP: 26044
9 13  #SUP: 23358
9 15  #SUP: 15070
9 16  #SUP: 5905
9 17  #SUP: 17429
9 18  #SUP: 8368
9 19  #SUP: 16075
9 22  #SUP: 15026
9 23  #SUP: 4669
9 24  #SUP: 6251
9 27  #SUP: 4838
9 37  #SUP: 7291
9 39  #SUP: 5249
9 44  #SUP: 5763
9 48  #SUP: 14960
11 12  #SUP: 10766
11 13  #SUP: 33573
11 15  #SUP: 20457
11 16  #SUP: 8157
11 17  #SUP: 24459
11 18  #SUP: 11305
11 19  #SUP: 23195
11 22  #SUP: 20752
11 23  #SUP: 6760
11 24  #SUP: 9024
11 26  #SUP: 4585
11 27  #SUP: 6757
11 28  #SUP: 4540
11 37  #SUP: 10592
11 39  #SUP: 7625
11 44  #SUP: 7691
11 48  #SUP: 20755
12 13  #SUP: 9153
12 15  #SUP: 5346
12 17  #SUP: 6668
12 19  #SUP: 6000
12 22  #SUP: 5432
12 48  #SUP: 5690
13 15  #SUP: 18797
13 16  #SUP: 7634
13 17  #SUP: 22472
13 18  #SUP: 10643
13 19  #SUP: 19990
13 22  #SUP: 18951
13 23  #SUP: 6123
13 24  #SUP: 8115
13 27  #SUP: 6256
13 37  #SUP: 9714
13 39  #SUP: 7136
13 44  #SUP: 7101
13 48  #SUP: 19082
15 16  #SUP: 5101
15 17  #SUP: 11243
15 18  #SUP: 7885
15 19  #SUP: 14372
15 22  #SUP: 12623
15 24  #SUP: 5060
15 48  #SUP: 12844
16 17  #SUP: 5400
16 18  #SUP: 7801
16 19  #SUP: 4678
17 18  #SUP: 7038
17 19  #SUP: 15321
17 22  #SUP: 13770
17 23  #SUP: 4660
17 24  #SUP: 6968
17 37  #SUP: 8242
17 39  #SUP: 6306
17 44  #SUP: 5636
17 48  #SUP: 13526
18 19  #SUP: 6378
18 48  #SUP: 6401
19 22  #SUP: 14038
19 24  #SUP: 7048
19 37  #SUP: 6799
19 44  #SUP: 4765
19 48  #SUP: 13273
22 24  #SUP: 5371
22 27  #SUP: 5229
22 37  #SUP: 6011
22 48  #SUP: 12363
24 48  #SUP: 5223
37 48  #SUP: 5789
3 5 7  #SUP: 5775
3 5 8  #SUP: 10973
3 5 9  #SUP: 8033
3 5 11  #SUP: 10660
3 5 13  #SUP: 9994
3 5 15  #SUP: 10231
3 5 18  #SUP: 4736
3 5 19  #SUP: 6776
3 5 22  #SUP: 6466
3 5 48  #SUP: 7002
3 7 8  #SUP: 5121
3 7 11  #SUP: 4653
3 7 13  #SUP: 4818
3 7 15  #SUP: 4744
3 8 9  #SUP: 7119
3 8 11  #SUP: 9362
3 8 13  #SUP: 8800
3 8 15  #SUP: 9075
3 8 19  #SUP: 6006
3 8 22  #SUP: 5596
3 8 48  #SUP: 6112
3 9 11  #SUP: 7109
3 9 13  #SUP: 6437
3 9 15  #SUP: 6784
3 9 48  #SUP: 4555
3 11 13  #SUP: 8969
3 11 15  #SUP: 8817
3 11 19  #SUP: 6225
3 11 22  #SUP: 5762
3 11 48  #SUP: 6039
3 13 15  #SUP: 8287
3 13 19  #SUP: 5393
3 13 22  #SUP: 5328
3 13 48  #SUP: 5625
3 15 19  #SUP: 5677
3 15 22  #SUP: 5461
3 15 48  #SUP: 5861
4 5 8  #SUP: 5751
4 5 11  #SUP: 6139
4 5 13  #SUP: 5709
4 5 17  #SUP: 5162
4 8 11  #SUP: 5286
4 8 13  #SUP: 4939
4 11 13  #SUP: 5413
4 11 17  #SUP: 4850
5 7 8  #SUP: 16992
5 7 9  #SUP: 12617
5 7 11  #SUP: 16370
5 7 12  #SUP: 4785
5 7 13  #SUP: 16603
5 7 15  #SUP: 8718
5 7 16  #SUP: 4702
5 7 17  #SUP: 11688
5 7 18  #SUP: 6827
5 7 22  #SUP: 8950
5 7 37  #SUP: 4740
5 7 39  #SUP: 4647
5 7 48  #SUP: 9886
5 8 9  #SUP: 23929
5 8 11  #SUP: 32685
5 8 12  #SUP: 9000
5 8 13  #SUP: 30359
5 8 15  #SUP: 19307
5 8 16  #SUP: 8097
5 8 17  #SUP: 22270
5 8 18  #SUP: 11392
5 8 19  #SUP: 20461
5 8 22  #SUP: 18608
5 8 24  #SUP: 7921
5 8 27  #SUP: 6206
5 8 37  #SUP: 9535
5 8 39  #SUP: 6839
5 8 42  #SUP: 4768
5 8 44  #SUP: 7879
5 8 48  #SUP: 19277
5 9 11  #SUP: 25538
5 9 13  #SUP: 22866
5 9 15  #SUP: 14778
5 9 16  #SUP: 5808
5 9 17  #SUP: 17146
5 9 18  #SUP: 8248
5 9 19  #SUP: 15796
5 9 22  #SUP: 14730
5 9 24  #SUP: 6114
5 9 27  #SUP: 4762
5 9 37  #SUP: 7149
5 9 39  #SUP: 5166
5 9 44  #SUP: 5753
5 9 48  #SUP: 14814
5 11 12  #SUP: 10558
5 11 13  #SUP: 32862
5 11 15  #SUP: 20043
5 11 16  #SUP: 8001
5 11 17  #SUP: 24031
5 11 18  #SUP: 11121
5 11 19  #SUP: 22789
5 11 22  #SUP: 20322
5 11 23  #SUP: 6474
5 11 24  #SUP: 8838
5 11 27  #SUP: 6637
5 11 37  #SUP: 10379
5 11 39  #SUP: 7496
5 11 44  #SUP: 7679
5 11 48  #SUP: 20528
5 12 13  #SUP: 8964
5 12 15  #SUP: 5241
5 12 17  #SUP: 6545
5 12 19  #SUP: 5890
5 12 22  #SUP: 5322
5 12 48  #SUP: 5618
5 13 15  #SUP: 18393
5 13 16  #SUP: 7482
5 13 17  #SUP: 22046
5 13 18  #SUP: 10457
5 13 19  #SUP: 19598
5 13 22  #SUP: 18532
5 13 23  #SUP: 5842
5 13 24  #SUP: 7930
5 13 27  #SUP: 6134
5 13 37  #SUP: 9496
5 13 39  #SUP: 7008
5 13 44  #SUP: 7087
5 13 48  #SUP: 18858
5 15 16  #SUP: 5022
5 15 17  #SUP: 11045
5 15 18  #SUP: 7778
5 15 19  #SUP: 14106
5 15 22  #SUP: 12353
5 15 24  #SUP: 4945
5 15 48  #SUP: 12712
5 16 17  #SUP: 5305
5 16 18  #SUP: 7679
5 16 19  #SUP: 4592
5 17 18  #SUP: 6934
5 17 19  #SUP: 15078
5 17 22  #SUP: 13527
5 17 24  #SUP: 6858
5 17 37  #SUP: 8087
5 17 39  #SUP: 6217
5 17 44  #SUP: 5630
5 17 48  #SUP: 13396
5 18 19  #SUP: 6276
5 18 48  #SUP: 6339
5 19 22  #SUP: 13794
5 19 24  #SUP: 6915
5 19 37  #SUP: 6683
5 19 44  #SUP: 4754
5 19 48  #SUP: 13163
5 22 24  #SUP: 5254
5 22 27  #SUP: 5126
5 22 37  #SUP: 5891
5 22 48  #SUP: 12226
5 24 48  #SUP: 5176
5 37 48  #SUP: 5719
7 8 9  #SUP: 11025
7 8 11  #SUP: 14069
7 8 13  #SUP: 14365
7 8 15  #SUP: 7662
7 8 17  #SUP: 10204
7 8 18  #SUP: 6197
7 8 22  #SUP: 7516
7 8 48  #SUP: 8417
7 9 11  #SUP: 10698
7 9 13  #SUP: 10580
7 9 15  #SUP: 5807
7 9 17  #SUP: 7600
7 9 22  #SUP: 5917
7 9 48  #SUP: 6435
7 11 12  #SUP: 4804
7 11 13  #SUP: 14868
7 11 15  #SUP: 7265
7 11 17  #SUP: 10147
7 11 18  #SUP: 5541
7 11 22  #SUP: 7751
7 11 48  #SUP: 8431
7 13 15  #SUP: 7385
7 13 17  #SUP: 10158
7 13 18  #SUP: 5699
7 13 22  #SUP: 7772
