3 #SUP: 12790
5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
11 #SUP: 39922
12 #SUP: 10883
13 #SUP: 36959
15 #SUP: 23265
16 #SUP: 9458
17 #SUP: 27214
18 #SUP: 13301
19 #SUP: 25130
22 #SUP: 23202
24 #SUP: 9732
37 #SUP: 11655
48 #SUP: 23289
3 5  #SUP: 12551
3 8  #SUP: 11127
3 11  #SUP: 10878
3 13  #SUP: 10211
3 15  #SUP: 10421
5 7  #SUP: 19701
5 8  #SUP: 37453
5 9  #SUP: 28413
5 11  #SUP: 39159
5 12  #SUP: 10675
5 13  #SUP: 36201
5 15  #SUP: 22824
5 16  #SUP: 9294
5 17  #SUP: 26766
5 18  #SUP: 13103
5 19  #SUP: 24695
5 22  #SUP: 22744
5 24  #SUP: 9531
5 37  #SUP: 11423
5 48  #SUP: 23049
7 8  #SUP: 17204
7 9  #SUP: 12859
7 11  #SUP: 16727
7 13  #SUP: 16969
7 17  #SUP: 11893
7 22  #SUP: 9164
7 48  #SUP: 10016
8 9  #SUP: 24265
8 11  #SUP: 33162
8 12  #SUP: 9127
8 13  #SUP: 30836
8 15  #SUP: 19592
8 17  #SUP: 22554
8 18  #SUP: 11517
8 19  #SUP: 20763
8 22  #SUP: 18899
8 37  #SUP: 9683
8 48  #SUP: 19439
9 11  #SUP: 26044
9 13  #SUP: 23358
9 15  #SUP: 15070
9 17  #SUP: 17429
9 19  #SUP: 16075
9 22  #SUP: 15026
9 48  #SUP: 14960
11 12  #SUP: 10766
11 13  #SUP: 33573
11 15  #SUP: 20457
11 17  #SUP: 24459
11 18  #SUP: 11305
11 19  #SUP: 23195
11 22  #SUP: 20752
11 37  #SUP: 10592
11 48  #SUP: 20755
12 13  #SUP: 9153
13 15  #SUP: 18797
13 17  #SUP: 22472
13 18  #SUP: 10643
13 19  #SUP: 19990
13 22  #SUP: 18951
13 37  #SUP: 9714
13 48  #SUP: 19082
15 17  #SUP: 11243
15 19  #SUP: 14372
15 22  #SUP: 12623
15 48  #SUP: 12844
17 19  #SUP: 15321
17 22  #SUP: 13770
17 48  #SUP: 13526
19 22  #SUP: 14038
19 48  #SUP: 13273
22 48  #SUP: 12363
3 5 8  #SUP: 10973
3 5 11  #SUP: 10660
3 5 13  #SUP: 9994
3 5 15  #SUP: 10231
3 8 11  #SUP: 9362
3 8 15  #SUP: 9075
5 7 8  #SUP: 16992
5 7 9  #SUP: 12617
5 7 11  #SUP: 16370
5 7 13  #SUP: 16603
5 7 17  #SUP: 11688
5 7 48  #SUP: 9886
5 8 9  #SUP: 23929
5 8 11  #SUP: 32685
5 8 13  #SUP: 30359
5 8 15  #SUP: 19307
5 8 17  #SUP: 22270
5 8 18  #SUP: 11392
5 8 19  #SUP: 20461
5 8 22  #SUP: 18608
5 8 37  #SUP: 9535
5 8 48  #SUP: 19277
5 9 11  #SUP: 25538
5 9 13  #SUP: 22866
5 9 15  #SUP: 14778
5 9 17  #SUP: 17146
5 9 19  #SUP: 15796
5 9 22  #SUP: 14730
5 9 48  #SUP: 14814
5 11 12  #SUP: 10558
5 11 13  #SUP: 32862
5 11 15  #SUP: 20043
5 11 17  #SUP: 24031
5 11 18  #SUP: 11121
5 11 19  #SUP: 22789
5 11 22  #SUP: 20322
5 11 37  #SUP: 10379
5 11 48  #SUP: 20528
5 13 15  #SUP: 18393
5 13 17  #SUP: 22046
5 13 18  #SUP: 10457
5 13 19  #SUP: 19598
5 13 22  #SUP: 18532
5 13 37  #SUP: 9496
5 13 48  #SUP: 18858
5 15 17  #SUP: 11045
5 15 19  #SUP: 14106
5 15 22  #SUP: 12353
5 15 48  #SUP: 12712
5 17 19  #SUP: 15078
5 17 22  #SUP: 13527
5 17 48  #SUP: 13396
5 19 22  #SUP: 13794
5 19 48  #SUP: 13163
5 22 48  #SUP: 12226
7 8 9  #SUP: 11025
7 8 11  #SUP: 14069
7 8 13  #SUP: 14365
7 8 17  #SUP: 10204
7 9 11  #SUP: 10698
7 9 13  #SUP: 10580
7 11 13  #SUP: 14868
7 11 17  #SUP: 10147
7 13 17  #SUP: 10158
8 9 11  #SUP: 21540
8 9 13  #SUP: 19432
8 9 15  #SUP: 12681
8 9 17  #SUP: 14404
8 9 19  #SUP: 13240
8 9 22  #SUP: 12214
8 9 48  #SUP: 12483
8 11 13  #SUP: 27814
8 11 15  #SUP: 17053
8 11 17  #SUP: 20069
8 11 18  #SUP: 9652
8 11 19  #SUP: 19093
8 11 22  #SUP: 16743
8 11 48  #SUP: 17159
8 13 15  #SUP: 15694
8 13 17  #SUP: 18555
8 13 18  #SUP: 9165
8 13 19  #SUP: 16471
8 13 22  #SUP: 15312
8 13 48  #SUP: 15820
8 15 17  #SUP: 9210
8 15 19  #SUP: 11930
8 15 22  #SUP: 10312
8 15 48  #SUP: 10763
8 17 19  #SUP: 12350
8 17 22  #SUP: 11054
8 17 48  #SUP: 11102
8 19 22  #SUP: 11383
8 19 48  #SUP: 11022
8 22 48  #SUP: 10063
9 11 13  #SUP: 21830
9 11 15  #SUP: 13547
9 11 17  #SUP: 15917
9 11 19  #SUP: 15346
9 11 22  #SUP: 13745
9 11 48  #SUP: 13584
9 13 15  #SUP: 12060
9 13 17  #SUP: 14227
9 13 19  #SUP: 12778
9 13 22  #SUP: 12163
9 13 48  #SUP: 12148
9 15 19  #SUP: 9263
9 17 19  #SUP: 9829
9 19 22  #SUP: 9109
11 12 13  #SUP: 9083
11 13 15  #SUP: 16980
11 13 17  #SUP: 20766
11 13 18  #SUP: 9427
11 13 19  #SUP: 18705
11 13 22  #SUP: 17355
11 13 48  #SUP: 17441
11 15 17  #SUP: 10208
11 15 19  #SUP: 13192
11 15 22  #SUP: 11282
11 15 48  #SUP: 11333
11 17 19  #SUP: 14312
11 17 22  #SUP: 12466
11 17 48  #SUP: 12312
11 19 22  #SUP: 13001
11 19 48  #SUP: 12324
11 22 48  #SUP: 11108
13 15 17  #SUP: 9210
13 15 19  #SUP: 11412
13 15 22  #SUP: 10255
13 15 48  #SUP: 10373
13 17 19  #SUP: 12314
13 17 22  #SUP: 11314
13 17 48  #SUP: 11231
13 19 22  #SUP: 11179
13 19 48  #SUP: 10544
13 22 48  #SUP: 10095
3 5 8 11  #SUP: 9223
5 7 8 9  #SUP: 10892
5 7 8 11  #SUP: 13872
5 7 8 13  #SUP: 14161
5 7 8 17  #SUP: 10086
5 7 9 11  #SUP: 10464
5 7 9 13  #SUP: 10345
5 7 11 13  #SUP: 14525
5 7 11 17  #SUP: 9951
5 7 13 17  #SUP: 9957
5 8 9 11  #SUP: 21217
5 8 9 13  #SUP: 19115
5 8 9 15  #SUP: 12491
5 8 9 17  #SUP: 14219
5 8 9 19  #SUP: 13037
5 8 9 22  #SUP: 12020
5 8 9 48  #SUP: 12385
5 8 11 13  #SUP: 27371
5 8 11 15  #SUP: 16788
5 8 11 17  #SUP: 19799
5 8 11 18  #SUP: 9538
5 8 11 19  #SUP: 18813
5 8 11 22  #SUP: 16472
5 8 11 48  #SUP: 17007
5 8 13 15  #SUP: 15433
5 8 13 17  #SUP: 18285
5 8 13 18  #SUP: 9047
5 8 13 19  #SUP: 16198
5 8 13 22  #SUP: 15048
5 8 13 48  #SUP: 15668
5 8 15 17  #SUP: 9079
5 8 15 19  #SUP: 11744
5 8 15 22  #SUP: 10134
5 8 15 48  #SUP: 10677
5 8 17 19  #SUP: 12184
5 8 17 22  #SUP: 10897
5 8 17 48  #SUP: 11017
5 8 19 22  #SUP: 11208
5 8 19 48  #SUP: 10946
5 8 22 48  #SUP: 9964
5 9 11 13  #SUP: 21352
5 9 11 15  #SUP: 13264
5 9 11 17  #SUP: 15637
5 9 11 19  #SUP: 15074
5 9 11 22  #SUP: 13455
5 9 11 48  #SUP: 13443
5 9 13 15  #SUP: 11788
5 9 13 17  #SUP: 13955
5 9 13 19  #SUP: 12521
5 9 13 22  #SUP: 11887
5 9 13 48  #SUP: 12009
5 9 15 19  #SUP: 9085
5 9 17 19  #SUP: 9671
5 11 13 15  #SUP: 16599
5 11 13 17  #SUP: 20357
5 11 13 18  #SUP: 9254
5 11 13 19  #SUP: 18337
5 11 13 22  #SUP: 16961
5 11 13 48  #SUP: 17229
5 11 15 17  #SUP: 10016
5 11 15 19  #SUP: 12944
5 11 15 22  #SUP: 11029
5 11 15 48  #SUP: 11209
5 11 17 19  #SUP: 14080
5 11 17 22  #SUP: 12234
5 11 17 48  #SUP: 12187
5 11 19 22  #SUP: 12775
5 11 19 48  #SUP: 12218
5 11 22 48  #SUP: 10978
5 13 15 19  #SUP: 11174
5 13 15 22  #SUP: 10010
5 13 15 48  #SUP: 10251
5 13 17 19  #SUP: 12089
5 13 17 22  #SUP: 11082
5 13 17 48  #SUP: 11107
5 13 19 22  #SUP: 10964
5 13 19 48  #SUP: 10443
5 13 22 48  #SUP: 9972
7 8 11 13  #SUP: 12439
7 9 11 13  #SUP: 9398
7 11 13 17  #SUP: 9109
8 9 11 13  #SUP: 18000
8 9 11 15  #SUP: 11246
8 9 11 17  #SUP: 12992
8 9 11 19  #SUP: 12589
8 9 11 22  #SUP: 11038
8 9 11 48  #SUP: 11192
8 9 13 15  #SUP: 10059
8 9 13 17  #SUP: 11696
8 9 13 19  #SUP: 10504
8 9 13 22  #SUP: 9789
8 9 13 48  #SUP: 10063
8 11 13 15  #SUP: 14091
8 11 13 17  #SUP: 17041
8 11 13 19  #SUP: 15375
8 11 13 22  #SUP: 13939
8 11 13 48  #SUP: 14371
8 11 15 19  #SUP: 10902
8 11 15 22  #SUP: 9139
8 11 15 48  #SUP: 9417
8 11 17 19  #SUP: 11506
8 11 17 22  #SUP: 9909
8 11 17 48  #SUP: 10016
8 11 19 22  #SUP: 10500
8 11 19 48  #SUP: 10205
8 13 15 19  #SUP: 9420
8 13 17 19  #SUP: 9924
8 13 17 48  #SUP: 9173
9 11 13 15  #SUP: 11248
9 11 13 17  #SUP: 13468
9 11 13 19  #SUP: 12432
9 11 13 22  #SUP: 11480
9 11 13 48  #SUP: 11410
9 11 17 19  #SUP: 9442
11 13 15 19  #SUP: 10611
11 13 15 22  #SUP: 9360
11 13 15 48  #SUP: 9397
11 13 17 19  #SUP: 11657
11 13 17 22  #SUP: 10507
11 13 17 48  #SUP: 10468
11 13 19 22  #SUP: 10475
11 13 19 48  #SUP: 9905
11 13 22 48  #SUP: 9272
5 7 8 11 13  #SUP: 12250
5 7 9 11 13  #SUP: 9171
5 8 9 11 13  #SUP: 17695
5 8 9 11 15  #SUP: 11064
5 8 9 11 17  #SUP: 12810
5 8 9 11 19  #SUP: 12393
5 8 9 11 22  #SUP: 10849
5 8 9 11 48  #SUP: 11099
5 8 9 13 15  #SUP: 9881
5 8 9 13 17  #SUP: 11517
5 8 9 13 19  #SUP: 10316
5 8 9 13 22  #SUP: 9608
5 8 9 13 48  #SUP: 9968
5 8 11 13 15  #SUP: 13847
5 8 11 13 17  #SUP: 16783
5 8 11 13 19  #SUP: 15121
5 8 11 13 22  #SUP: 13693
5 8 11 13 48  #SUP: 14228
5 8 11 15 19  #SUP: 10731
5 8 11 15 48  #SUP: 9337
5 8 11 17 19  #SUP: 11347
5 8 11 17 22  #SUP: 9760
5 8 11 17 48  #SUP: 9934
5 8 11 19 22  #SUP: 10340
5 8 11 19 48  #SUP: 10132
5 8 13 15 19  #SUP: 9252
5 8 13 17 19  #SUP: 9769
5 8 13 17 48  #SUP: 9091
5 9 11 13 15  #SUP: 10984
5 9 11 13 17  #SUP: 13199
5 9 11 13 19  #SUP: 12181
5 9 11 13 22  #SUP: 11210
5 9 11 13 48  #SUP: 11276
5 9 11 17 19  #SUP: 9285
5 11 13 15 19  #SUP: 10387
5 11 13 15 22  #SUP: 9130
5 11 13 15 48  #SUP: 9282
5 11 13 17 19  #SUP: 11440
5 11 13 17 22  #SUP: 10283
5 11 13 17 48  #SUP: 10348
5 11 13 19 22  #SUP: 10275
5 11 13 19 48  #SUP: 9807
5 11 13 22 48  #SUP: 9155
8 9 11 13 15  #SUP: 9302
8 9 11 13 17  #SUP: 10989
8 9 11 13 19  #SUP: 10202
8 9 11 13 22  #SUP: 9171
8 9 11 13 48  #SUP: 9374
8 11 13 17 19  #SUP: 9386
5 8 9 11 13 15  #SUP: 9131
5 8 9 11 13 17  #SUP: 10813
5 8 9 11 13 19  #SUP: 10020
5 8 9 11 13 48  #SUP: 9284
5 8 11 13 17 19  #SUP: 9236
