5 #SUP: 44396
7 #SUP: 20081
8 #SUP: 37967
9 #SUP: 28934
11 #SUP: 39922
13 #SUP: 36959
15 #SUP: 23265
17 #SUP: 27214
19 #SUP: 25130
22 #SUP: 23202
48 #SUP: 23289
5 7  #SUP: 19701
5 8  #SUP: 37453
5 9  #SUP: 28413
5 11  #SUP: 39159
5 13  #SUP: 36201
5 15  #SUP: 22824
5 17  #SUP: 26766
5 19  #SUP: 24695
5 22  #SUP: 22744
5 48  #SUP: 23049
8 9  #SUP: 24265
8 11  #SUP: 33162
8 13  #SUP: 30836
8 15  #SUP: 19592
8 17  #SUP: 22554
8 19  #SUP: 20763
8 22  #SUP: 18899
8 48  #SUP: 19439
9 11  #SUP: 26044
9 13  #SUP: 23358
11 13  #SUP: 33573
11 15  #SUP: 20457
11 17  #SUP: 24459
11 19  #SUP: 23195
11 22  #SUP: 20752
11 48  #SUP: 20755
13 15  #SUP: 18797
13 17  #SUP: 22472
13 19  #SUP: 19990
13 22  #SUP: 18951
13 48  #SUP: 19082
5 8 9  #SUP: 23929
5 8 11  #SUP: 32685
5 8 13  #SUP: 30359
5 8 15  #SUP: 19307
5 8 17  #SUP: 22270
5 8 19  #SUP: 20461
5 8 22  #SUP: 18608
5 8 48  #SUP: 19277
5 9 11  #SUP: 25538
5 9 13  #SUP: 22866
5 11 13  #SUP: 32862
5 11 15  #SUP: 20043
5 11 17  #SUP: 24031
5 11 19  #SUP: 22789
5 11 22  #SUP: 20322
5 11 48  #SUP: 20528
5 13 15  #SUP: 18393
5 13 17  #SUP: 22046
5 13 19  #SUP: 19598
5 13 22  #SUP: 18532
5 13 48  #SUP: 18858
8 9 11  #SUP: 21540
8 9 13  #SUP: 19432
8 11 13  #SUP: 27814
8 11 17  #SUP: 20069
8 11 19  #SUP: 19093
8 13 17  #SUP: 18555
9 11 13  #SUP: 21830
11 13 17  #SUP: 20766
11 13 19  #SUP: 18705
5 8 9 11  #SUP: 21217
5 8 9 13  #SUP: 19115
5 8 11 13  #SUP: 27371
5 8 11 17  #SUP: 19799
5 8 11 19  #SUP: 18813
5 8 13 17  #SUP: 18285
5 9 11 13  #SUP: 21352
5 11 13 17  #SUP: 20357
5 11 13 19  #SUP: 18337
