5 #SUP: 44396
8 #SUP: 37967
9 #SUP: 28934
11 #SUP: 39922
13 #SUP: 36959
15 #SUP: 23265
17 #SUP: 27214
19 #SUP: 25130
22 #SUP: 23202
48 #SUP: 23289
5 8  #SUP: 37453
5 9  #SUP: 28413
5 11  #SUP: 39159
5 13  #SUP: 36201
5 15  #SUP: 22824
5 17  #SUP: 26766
5 19  #SUP: 24695
5 22  #SUP: 22744
5 48  #SUP: 23049
8 9  #SUP: 24265
8 11  #SUP: 33162
8 13  #SUP: 30836
9 11  #SUP: 26044
9 13  #SUP: 23358
11 13  #SUP: 33573
11 17  #SUP: 24459
11 19  #SUP: 23195
5 8 9  #SUP: 23929
5 8 11  #SUP: 32685
5 8 13  #SUP: 30359
5 9 11  #SUP: 25538
5 9 13  #SUP: 22866
5 11 13  #SUP: 32862
5 11 17  #SUP: 24031
5 11 19  #SUP: 22789
8 11 13  #SUP: 27814
5 8 11 13  #SUP: 27371
